initial_mass,initial_Z,initial_Y,mesa_run_directory,min_model_number,max_model_number
5.0,0.0090,0.256,MESA_grid/run_5.0MSUN_z0.0090,2073.0,2246.0
5.0,0.0100,0.256,MESA_grid/run_5.0MSUN_z0.0100,2132.0,2330.0
